,gene_pair,gene_1,gene_2,study_origin,cell_line_origin,GEMINI_SCORE_SL_score_SensitiveLethality,GEMINI_SCORE_SL_score_SensitiveRecovery,GEMINI_SCORE_SL_score_Strong,HORLBECK_SCORE_SL_score,HORLBECK_SCORE_standard_error,MAGECK_SCORE_SL_score,MAGECK_SCORE_Z_SL_score,MAGECK_SCORE_standard_error,MEDIAN_B_SCORE_SL_score,MEDIAN_B_SCORE_Z_SL_score,MEDIAN_B_SCORE_standard_error,MEDIAN_NB_SCORE_SL_score,MEDIAN_NB_SCORE_Z_SL_score,MEDIAN_NB_SCORE_standard_error,SGRA_DERIVED_B_SCORE_SL_score,SGRA_DERIVED_NB_SCORE_SL_score
47,AKT3|UPF3A,AKT3,UPF3A,36060092,22RV1,-0.0920012505508914,,-0.0920012505508914,0.18904208367538403,0.15346036318728798,,,,0.0381947924330035,0.7471118691043823,0.05112325745646418,0.07811338965552483,1.527942340568675,0.05112325745646418,0.3605452988500741,0.8003816135225397
48,AKT3|WNT5A,AKT3,WNT5A,36060092,22RV1,-0.0236774503655897,,-0.0236774503655898,-0.33593011602640865,0.1431119171687584,,,,-0.07382152438967093,-1.507341954269318,0.04897463656510232,-0.0339029271671496,-0.6922547985033478,0.04897463656510232,-0.6386226648921923,0.19366919799209087
49,AR|AURKA,AR,AURKA,36060092,22RV1,0.014218624560945,,0.014218624560945,-0.9002987145557885,0.16043252710804803,,,,-0.15967904254717302,-1.2871334764151083,0.12405787392921133,-0.11976044532465169,-0.9653594853075445,0.12405787392921133,-2.312710284542846,-1.8966743441812906
50,AR|BMP6,AR,BMP6,36060092,22RV1,-0.0870906986376644,,-0.0870906986376644,-0.4904386871762874,0.08289197017443012,,,,-0.08177063302435883,-1.722480545485807,0.0474726017885423,-0.041852035801837495,-0.8816040036789947,0.0474726017885423,-1.4216174210721484,-0.8862023259486091
51,AR|CCNE2,AR,CCNE2,36060092,22RV1,-0.117308343748364,,-0.117308343748364,-0.008689005257723662,0.2792754911288359,,,,-0.046993434516481525,-0.7593481479287576,0.06188654656584541,-0.00707483729396019,-0.11431947146109983,0.06188654656584541,-0.003018266304243289,0.35751547684558294
52,AR|CDC6,AR,CDC6,36060092,22RV1,0.0580531100755972,,0.0580531100755972,-0.42774121403389925,0.1908753780036464,,,,-0.20938837580876868,-1.703792159502098,0.12289549205928885,-0.16946977858624734,-1.3789747349275392,0.12289549205928885,-1.8636917396833208,-1.4181111947697262
53,AR|CDK2,AR,CDK2,36060092,22RV1,-0.0883605650041548,,-0.0883605650041548,0.1176115312039845,0.21134047177982562,,,,-0.045766957212360904,-0.5793425518896554,0.07899809372379385,-0.005848359989839569,-0.07403165967887236,0.07899809372379385,-0.005022612465536813,0.5815775585779375
54,AR|CTNNB1,AR,CTNNB1,36060092,22RV1,-0.121255477277877,,-0.121255477277877,-0.06675888847480146,0.309868054965163,,,,-0.06353227597027322,-1.1844862710095925,0.05363698805569247,-0.023613678747751887,-0.44024990223599586,0.05363698805569247,-0.9007530377660434,-0.2705160736696381
55,AR|DHFR,AR,DHFR,36060092,22RV1,-0.143164489591064,,-0.143164489591064,0.48309744006954836,0.24972682183458886,,,,0.0755369966081405,0.6227297962706514,0.121299794968074,0.11545559383066184,0.9518201894821805,0.121299794968074,-0.5264730208493353,-0.14754243035357573
56,AR|ETF1,AR,ETF1,36060092,22RV1,,-0.113397447343246,0.0947999328671462,0.3362476219387228,0.3388196878172541,,,,-0.14216939589323863,-0.5361943591046753,0.26514526585216175,-0.10225079867071729,-0.38564067264067137,0.26514526585216175,-2.7629875316341783,-2.2087636545688603
57,AR|EZH2,AR,EZH2,36060092,22RV1,-0.0883827081315104,,-0.0883827081315104,-0.35574772369424007,0.18796746072511206,,,,-0.08818832636588514,-1.6806115502848737,0.05247394994455244,-0.048269729143363804,-0.9198798488463112,0.05247394994455244,-0.958823009315717,-0.3761639970715572
58,AR|GART,AR,GART,36060092,22RV1,-0.142574850855221,,-0.142574850855221,-0.008516740580009952,0.29400830093795693,,,,0.005708330373684678,0.09629474255828427,0.05927977189647295,0.04562692759620601,0.7696879751138304,0.05927977189647295,0.5394014800685213,1.0913040629159831
59,AR|GRB2,AR,GRB2,36060092,22RV1,-0.0566120337124902,,-0.0566120337124902,-0.45423714903546775,0.1628695917407378,,,,-0.10739109045036122,-1.750621057665841,0.06134456682107388,-0.06747249322783988,-1.0998935476166873,0.06134456682107388,-1.9338206992461093,-1.2457238191330564
