"","Strong","SensitiveLethality","SensitiveRecovery"
"EZH2;NXF2B",-0.122204069548016,-0.122204069548016,NA
"EZH2;PARP1",-0.0191230761982173,-0.0191230761982173,NA
"EZH2;PIK3CA",-0.0467401742534589,-0.0467401742534589,NA
"EZH2;PLD1",-0.101743811995313,-0.101743811995313,NA
"EZH2;PLK1",-0.116342385778146,NA,0.0489370017754716
"EZH2;POLD1",-0.0562735343403122,-0.0562735343403122,NA
"EZH2;PSMB2",-0.0578508890160506,NA,0.0565908233361717
"EZH2;PSMB5",-0.046806438749931,NA,0.046806438749931
"EZH2;RHEB",-0.0613901868347295,-0.0613901868347295,NA
"EZH2;TGFBR2",-0.0452478493534912,-0.0452478493534912,NA
"EZH2;TOP2A",-0.0812178858997633,-0.0812178858997634,NA
"EZH2;TRIB2",-0.074815434537007,-0.074815434537007,NA
"EZH2;TRIM25",-0.0189940886602125,-0.0189940886602125,NA
"EZH2;ULK1",-0.0387943563375266,-0.0387943563375266,NA
"EZH2;UPF2",-0.0918337785441141,-0.0918337785441142,NA
"EZH2;UPF3A",-0.0226266928673068,-0.0226266928673068,NA
"EZH2;WNT5A",-0.053215949990871,-0.053215949990871,NA
"GART;GRB2",-0.0303240473198053,-0.0303240473198053,NA
"GART;HDAC1",-0.0959927028261152,-0.0959927028261152,NA
"GART;HPRT1",0.0109692981690264,0.0109692981690264,NA
"GART;HSP90AA1",0.0755646267086067,0.0755646267086066,NA
"GART;HSP90B1",0.00849381894197021,0.0084938189419702,NA
"GART;IGF1R",-0.00493453150798323,-0.00493453150798322,NA
"GART;IGFBP5",-0.0865590860783529,-0.0865590860783529,NA
"GART;INSR",-0.0933804511269152,-0.0933804511269152,NA
"GART;IRS1",-0.073717566502784,-0.073717566502784,NA
"GART;JUN",-0.0844209431846364,-0.0844209431846363,NA
"GART;LIMK1",-0.0740485284392478,-0.0740485284392478,NA
"GART;MAP2K1",0.0457053751293027,0.0457053751293027,NA
"GART;MAP3K1",0.0559109416357336,0.0559109416357336,NA
"GART;MAPK1",-0.0217530911444156,-0.0217530911444156,NA
"GART;MAPK13",-0.0139265123388999,-0.0139265123388998,NA
"GART;MAPK3",0.0783580636581974,0.0783580636581974,NA
